id,sequence,code,name,report_name,internal_type,doc_code_prefix,country_id/id,active
dc_a_f_dte,1,33,FacturaElectrónica,FACTURA,invoice,FAC,base.cl,True
dc_y_f_dte,2,34,FacturanoAfectaoExentaElectrónica,F-EXENTA,invoice,FNA,base.cl,True
dc_nc_f_dte,3,61,NotadeCréditoElectrónica,NOTADECREDITO,credit_note,N/C,base.cl,True
dc_nd_f_dte,4,56,NotadeDébitoElectrónica,NOTADEDEBITO,debit_note,N/D,base.cl,True
dc_b_f_dte,5,39,BoletaElectrónica,BEL,invoice,BEL,base.cl,True
dc_m_d_dtn,6,71,BoletadeHonorariosElectrónica,BHE,invoice,BHE,base.cl,True
dc_b_e_dtn,7,38,Boletaexenta,BEX,invoice,BEX,base.cl,False
dc_I_f_dtn,10,29,FacturadeInicio,FAI,invoice,FAI,base.cl,False
dc_a_f_dtn,10,30,Factura,FACTURA,invoice,FAC,base.cl,False
dc_y_f_dtn,10,32,FacturadeVentasyServiciosnoAfectosoExentosdeIVA,F-EXENTA,invoice,FNA,base.cl,False
dc_l_f_dtn,10,40,LiquidaciónFactura,L-FACTURAM,invoice,FAL,base.cl,False
dc_l_f_dte,10,43,LiquidaciónFacturaElectrónica,L-FACTURAE,invoice,FAL,base.cl,False
dc_fc_f_dtn,10,45,FacturadeCompra,FACTURA,invoice_in,FAC,base.cl,False
dc_fc_f_dte,10,46,FacturadeCompraElectrónica,FACTURA,invoice_in,FAC,base.cl,False
dc_nd_f_dtn,10,55,NotadeDébito,NOTADEDEBITO,debit_note,N/D,base.cl,False
dc_nc_f_dtn,10,60,NotadeCrédito,NOTADECREDITO,credit_note,N/C,base.cl,False
dc_s_f_dtn,10,108,SRFSolicituddeRegistrodeFactura,SOLREGISTRO,,REG,base.cl,False
dc_ftf_f_dtn,10,901,Facturadeventasaempresasdelterritoriopreferencial(Res.Ex.N°1057,FACTURA,invoice,FAC,base.cl,False
dc_din_f_dtn,10,914,DeclaracióndeIngreso(DIN),DECING,invoice_in,DIN,base.cl,False
dc_dizf_f_dtn,10,911,DeclaracióndeIngresoaZonaFrancaPrimaria,DECING,invoice_in,DIN,base.cl,False
dc_ftt_f_dtn,10,904,FacturadeTraspaso,FACTTR,invoice,FTR,base.cl,False
dc_frr_f_dtn,10,905,FacturadeReexpedición,FACTRX,invoice,FRX,base.cl,False
dc_bzf_f_dtn,10,906,BoletasVentaMódulosZF(todas),BOLETAZF,invoice,BZF,base.cl,False
dc_fzf_f_dtn,10,907,FacturasVentaMóduloZF(todas),FACTURAZF,invoice,FZF,base.cl,False
dc_tca_f_dtn,10,500,AjusteaumentoTipodeCambio(código500),TC-A,,TCA,base.cl,False
dc_tcd_f_dtn,10,501,AjustedisminuciónTipodeCambio(código501),TC-D,,TCD,base.cl,False
dc_b_f_dtn,10,35,BoletadeVenta,BOL,invoice,BOL,base.cl,False
dc_b_e_dte,10,41,BoletaExentaElectrónica,BXE,invoice,BXE,base.cl,False
dc_m_f_dtn,10,70,BoletadeHonorarios,BHO,invoice,BHO,base.cl,False
dc_hes,10,HES,HojadeEntradadeServicio(HES),HES,,HES,base.cl,False
dc_hem,10,HEM,HojadeEntradadeMateriales(HEM),HEM,,HEM,base.cl,False
dc_migo,10,MIG,MovimientodeMercancías(MIGO),MIGO,,MIGO,base.cl,False
dc_li,10,103,Liquidación,LIQ,,LIQ,base.cl,False
dc_fe_dte,10,110,FacturadeExportaciónElectrónica,FCXE,invoice,FCXE,base.cl,False
dc_ndex_dte,10,111,NotadeDébitodeExportaciónElectrónica,NDXE,debit_note,NDXE,base.cl,False
dc_ncex_dte,10,112,NotadeCréditodeExportaciónElectrónica,NCXE,credit_note,NCXE,base.cl,False
dc_odc,10,801,OrdendeCompra,OC,,OC,base.cl,False
dc_ndp,10,802,Notadepedido,NP,,NP,base.cl,False
dc_cont,10,803,Contrato,CONT,,CONT,base.cl,False
dc_resol,10,804,Resolución,RES,,RES,base.cl,False
dc_prchc,10,805,ProcesoChileCompra,PCHC,,PCHC,base.cl,False
dc_fichc,10,806,FichaChileCompra,FCHC,,FCHC,base.cl,False
dc_dus,10,807,DUS,DUS,,DUS,base.cl,False
dc_bl_cemb,10,808,B/L(Conocimientodeembarque),B/L,,B/L,base.cl,False
dc_awb,10,809,AWBAirwayBill,AWB,,AWB,base.cl,False
dc_mic_dta,10,810,MIC/DTA,MDT,,MDT,base.cl,False
dc_cpor,10,811,CartadePorte,CPR,,CPR,base.cl,False
dc_res_sna,10,812,ResolucióndelSNAdondecalificaServiciosdeExportación,RSN,,RSN,base.cl,False
dc_pasap,10,813,Pasaporte,PSP,,PSP,base.cl,False
dc_cd_bol,10,814,CertificadodeDepósitoBolsaProd.Chile.,CRTD,,CRTD,base.cl,False
dc_vp_pren,10,815,ValedePrendaBolsaProd.Chile,VLPR,,VLPR,base.cl,False
dc_oc,300,10,OrdendeCompra,OC,,OC,base.cl,False
