id,name,l10n_co_document_code,country_id:id,is_vat,sequence
rut,NIT,rut,base.co,TRUE,1
national_citizen_id,Céduladeciudadanía,national_citizen_id,base.co,FALSE,2
civil_registration,RegistroCivil,civil_registration,base.co,FALSE,3
id_card,TarjetadeIdentidad,id_card,base.co,FALSE,4
foreign_colombian_card,Tarjetadeextranjería,foreign_colombian_card,base.co,False,5
foreign_resident_card,Céduladeextranjería,foreign_resident_card,base.co,False,6
l10n_latam_base.it_pass,Passport,passport,,FALSE,7
residence_document,SalvoconductodePermanencia,residence_document,base.co,FALSE,8
l10n_latam_base.it_fid,CédulaExtranjera,foreign_id_card,,FALSE,9
external_id,Nitdeotropaís,external_id,,FALSE,10
niup_id,NIUP,niup_id,base.co,False,11
diplomatic_card,INACTIVO-CarnéDiplomatico,diplomatic_card,base.co,FALSE,12
id_document,INACTIVO-Cédula,id_document,base.co,FALSE,13
l10n_latam_base.it_vat,VAT,rut,,TRUE,80
