"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"cuenta102_02","Transferenciasbancariasmonedaextranjera","102.02.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_102_02","True"
"cuenta105_01","Clientesnacionales","105.01.01","account.data_account_type_receivable","l10n_mx.mx_coa","l10n_mx.account_tag_105_01","True"
"cuenta105_02","Clientesnacionales(PoS)","105.01.02","account.data_account_type_receivable","l10n_mx.mx_coa","l10n_mx.account_tag_105_01","True"
"cuenta107_05_01","MercancíasEnviadas-NoFacturas","107.05.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_107_05","True"
"cuenta108_01","Estimacióndecuentasincobrablesnacional","108.01.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_108_01","True"
"cuenta108_02","Estimacióndecuentasincobrablesextranjero","108.02.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_108_02","True"
"cuenta115_01","Inventario","115.01.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_01","False"
"cuenta115_02","Materiaprimaymateriales","115.02.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_02","False"
"cuenta115_03","Producciónenproceso","115.03.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_03","False"
"cuenta115_04","Productosterminados","115.04.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_04","False"
"cuenta115_05","Mercancíasentránsito","115.05.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_05","True"
"cuenta115_06","Mercancíasenpoderdeterceros","115.06.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_115_06","False"
"cuenta118_01","IVAacreditablepagado","118.01.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_118_01","False"
"cuenta118_03","IEPSacreditablepagado","118.03.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_118_03","False"
"cuenta119_01","IVApendientedepago","119.01.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_119_01","True"
"cuenta119_03","IEPSpendientedepago","119.03.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_119_03","True"
"cuenta120_01","Anticipoaproveedoresnacional","120.01.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_120_01","True"
"cuenta120_02","Anticipoaproveedoresextranjero","120.02.01","account.data_account_type_current_assets","l10n_mx.mx_coa","l10n_mx.account_tag_120_02","True"
"cuenta201_01","Proveedoresnacionales","201.01.01","account.data_account_type_payable","l10n_mx.mx_coa","l10n_mx.account_tag_201_01","True"
"cuenta205_06_01","MercancíasRecibidas-NoFacturas","205.06.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_205_01","True"
"cuenta206_01","Anticipodeclientenacional","206.01.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_206_01","True"
"cuenta206_02","Anticipodeclienteextranjero","206.02.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_206_02","True"
"cuenta206_05_01","Otrosanticiposdeclientes","206.05.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_206_05","True"
"cuenta208_01","IVAtrasladadocobrado","208.01.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_208_01","False"
"cuenta208_02","IEPStrasladadocobrado","208.02.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_208_02","False"
"cuenta209_01","IVAtrasladadonocobrado","209.01.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_209_01","True"
"cuenta209_02","IEPStrasladadonocobrado","209.02.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_209_02","True"
"cuenta216_03","ImpuestosretenidosdeISRporarrendamiento","216.03.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_216_03","False"
"cuenta216_04","ImpuestosretenidosdeISRporserviciosprofesionales","216.04.01","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_216_04","False"
"cuenta216_10","ImpuestosretenidosdeIVA","216.10.10","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_216_10","False"
"cuenta216_10_20","Impuestosretenidosdeivaefectivamentepagados","216.10.20","account.data_account_type_current_liabilities","l10n_mx.mx_coa","l10n_mx.account_tag_216_10","False"
"cuenta302_01","Patrimonio","302.01.01","account.data_account_type_equity","l10n_mx.mx_coa","l10n_mx.account_tag_302_01","False"
"cuenta304_01","Utilidaddeejerciciosanteriores","304.01.01","account.data_account_type_equity","l10n_mx.mx_coa","l10n_mx.account_tag_304_01","False"
"cuenta305_01","Utilidaddelejercicio","305.01.01","account.data_unaffected_earnings","l10n_mx.mx_coa","l10n_mx.account_tag_305_01","False"
"cuenta401_01","Ventasy/oserviciosgravadosalatasageneral","401.01.01","account.data_account_type_revenue","l10n_mx.mx_coa","l10n_mx.account_tag_401_01","False"
"cuenta501_01","Costodeventa","501.01.01","account.data_account_type_direct_costs","l10n_mx.mx_coa","l10n_mx.account_tag_501_01","False"
"cuenta601_84","Otrosgastosgenerales","601.84.01","account.data_account_type_expenses","l10n_mx.mx_coa","l10n_mx.account_tag_601_84","False"
"cuenta701_01","Pérdidacambiaria","701.01.01","account.data_account_type_expenses","l10n_mx.mx_coa","l10n_mx.account_tag_701_01","False"
"cuenta702_01","Utilidadcambiaria","702.01.01","account.data_account_type_revenue","l10n_mx.mx_coa","l10n_mx.account_tag_702_01","False"
"cuenta801_01","Utilidadopérdidafiscalenventay/obajadeactivofijo","811.01.01","account.data_account_type_expenses","l10n_mx.mx_coa","l10n_mx.account_tag_811_01","False"
"cuenta801_01_99","BaseImponibledeImpuestosenBaseaFlujodeEfectivo","899.01.99","account.data_account_type_expenses","l10n_mx.mx_coa","l10n_mx.account_tag_899_01","False"
