id,code_prefix_start,name,chart_template_id:id
group0,0,Cuentasdeorden,pe_chart_template
group1,1,Activodisponibleyexigible,pe_chart_template
group2,2,Activorealizable,pe_chart_template
group3,3,Activoinmovilizado,pe_chart_template
group4,4,Pasivo,pe_chart_template
group5,5,PatrimonioNeto,pe_chart_template
group6,6,Gastospornaturaleza,pe_chart_template
group7,7,Ingresos,pe_chart_template
group8,8,Saldosintrermediariosdegestiónydeterminacióndelresultadodelejercicio,pe_chart_template
group10,10,EFECTIVOYEQUIVALENTESDEEFECTIVO,pe_chart_template
group11,11,INVERSIONESFINANCIERAS,pe_chart_template
group12,12,CUENTASPORCOBRARCOMERCIALES–TERCEROS,pe_chart_template
group13,13,CUENTASPORCOBRARCOMERCIALES–RELACIONADAS,pe_chart_template
group14,14,"CUENTASPORCOBRARALPERSONAL,ALOSACCIONISTAS(SOCIOS)yDIRECTORES",pe_chart_template
group16,16,CUENTASPORCOBRARDIVERSAS–TERCEROS,pe_chart_template
group17,17,CUENTASPORCOBRARDIVERSAS–RELACIONADAS,pe_chart_template
group18,18,SERVICIOSYOTROSCONTRATADOSPORANTICIPADO,pe_chart_template
group19,19,ESTIMACIÓNDECUENTASDECOBRANZADUDOSA,pe_chart_template
group20,20,MERCADERÍAS,pe_chart_template
group21,21,PRODUCTOSTERMINADOS,pe_chart_template
group22,22,"SUBPRODUCTOS,DESECHOSYDESPERDICIOS",pe_chart_template
group23,23,PRODUCTOSENPROCESO,pe_chart_template
group24,24,MATERIASPRIMAS,pe_chart_template
group25,25,"MATERIALESAUXILIARES,SUMINISTROSYREPUESTOS",pe_chart_template
group26,26,ENVASESYEMBALAJES,pe_chart_template
group27,27,ACTIVOSNOCORRIENTESMANTENIDOSPARALAVENTA,pe_chart_template
group28,28,INVENTARIOSPORRECIBIR,pe_chart_template
group29,29,DESVALORIZACIÓNDEINVENTARIOS,pe_chart_template
group30,30,INVERSIONESMOBILIARIAS,pe_chart_template
group31,31,PROPIEDADESDEINVERSIÓN,pe_chart_template
group32,32,ACTIVOSPORDERECHODEUSO,pe_chart_template
group33,33,"PROPIEDAD,PLANTAYEQUIPO",pe_chart_template
group34,34,INTANGIBLES,pe_chart_template
group35,35,ACTIVOSBIOLÓGICOS,pe_chart_template
group36,36,DESVALORIZACIÓNDEACTIVOINMOVILIZADO,pe_chart_template
group37,37,ACTIVODIFERIDO,pe_chart_template
group38,38,OTROSACTIVOS,pe_chart_template
group39,39,DEPRECIACIÓNyAMORTIZACIÓNACUMULADOS,pe_chart_template
group40,40,"TRIBUTOS,CONTRAPRESTACIONESYAPORTESALSISTEMAPÚBLICODEPENSIONESYDESALUDPORPAGAR",pe_chart_template
group41,41,REMUNERACIONESYPARTICIPACIONESPORPAGAR,pe_chart_template
group42,42,CUENTASPORPAGARCOMERCIALESTERCEROS,pe_chart_template
group43,43,CUENTASPORPAGARCOMERCIALESRELACIONADAS,pe_chart_template
group44,44,"CUENTASPORPAGARALOSACCIONISTAS(SOCIOS,PARTÍCIPES)YDIRECTORES",pe_chart_template
group45,45,OBLIGACIONESFINANCIERAS,pe_chart_template
group46,46,CUENTASPORPAGARDIVERSAS–TERCEROS,pe_chart_template
group47,47,CUENTASPORPAGARDIVERSAS–RELACIONADAS,pe_chart_template
group48,48,PROVISIONES,pe_chart_template
group49,49,PASIVODIFERIDO,pe_chart_template
group50,50,CAPITAL,pe_chart_template
group51,51,ACCIONESDEINVERSIÓN,pe_chart_template
group52,52,CAPITALADICIONAL,pe_chart_template
group56,56,RESULTADOSNOREALIZADOS,pe_chart_template
group57,57,EXCEDENTEDEREVALUACIÓN,pe_chart_template
group58,58,RESERVAS,pe_chart_template
group59,59,RESULTADOSACUMULADOS,pe_chart_template
group60,60,COMPRAS,pe_chart_template
group61,61,VARIACIÓNDEINVENTARIOS,pe_chart_template
group62,62,GASTOSDEPERSONALYDIRECTORES,pe_chart_template
group63,63,GASTOSDESERVICIOSPRESTADOSPORTERCEROS,pe_chart_template
group64,64,GASTOSPORTRIBUTOS,pe_chart_template
group65,65,OTROSGASTOSDEGESTION,pe_chart_template
group66,66,PERDIDAPORMEDICIÓNDEACTIVOSNOFINANCIEROSALVALORRAZONABLE,pe_chart_template
group67,67,GASTOSFINANCIEROS,pe_chart_template
group68,68,VALUACIÓNYDETERIORODEACTIVOSYPROVISIONES,pe_chart_template
group69,69,COSTODEVENTAS,pe_chart_template
group70,70,VENTAS,pe_chart_template
group71,71,VARIACIÓNDELAPRODUCCIÓNALMACENADA,pe_chart_template
group72,72,PRODUCCIÓNDEACTIVOINMOVILIZADO,pe_chart_template
group73,73,"DESCUENTOS,REBAJASYBONIFICACIONESOBTENIDOS",pe_chart_template
group74,74,"DESCUENTOS,REBAJASyBONIFICACIONESCONCEDIDOS",pe_chart_template
group75,75,OTROSINGRESOSDEGESTIÓN,pe_chart_template
group76,76,GANANCIAPORMEDICIÓNDEACTIVOSNOFINANCIEROSALVALORRAZONABLE,pe_chart_template
group77,77,INGRESOSFINANCIEROS,pe_chart_template
group78,78,CARGASCUBIERTASPORPROVISIONES,pe_chart_template
group79,79,CARGASIMPUTABLESACUENTASDECOSTOSYGASTOS,pe_chart_template
group80,80,MARGENCOMERCIAL,pe_chart_template
group81,81,PRODUCCIÓNDELEJERCICIO,pe_chart_template
group82,82,VALORAGREGADO,pe_chart_template
group83,83,EXCEDENTEBRUTO(INSUFICIENCIABRUTA)DEEXPLOTACIÓN,pe_chart_template
group84,84,RESULTADODEEXPLOTACIÓN,pe_chart_template
group85,85,RESULTADOANTESDEPARTICIPACIONESEIMPUESTOS,pe_chart_template
group88,88,IMPUESTOALARENTA,pe_chart_template
group89,89,DETERMINACIÓNDELRESULTADODELEJERCICIO,pe_chart_template
