"id","active","name","bic","street","city","state/id","country/id","phone"
"res_bank_1","TRUE","AlphaBank","BUCUROBU","CaleaDorobantilor237B,sector1","BUCURESTI","base.RO_B","base.ro","(021)209.99.99"
"res_bank_2","TRUE","Anglo-RomanianBankLimited,AngliaLondra","ARBLROBU","Bd.CarolInr.34-36,sector2","BUCURESTI","base.RO_B","base.ro","+44(0)2078264200"
"res_bank_3","TRUE","AteBank","MINDROBU","Bd.Grivitei,nr.24,sector1","BUCURESTI","base.RO_B","base.ro","(021)30.30.732"
"res_bank_4","TRUE","BancaComercialăCarpatica","CARPRO22","str.Autogariinr.1","SIBIU","base.RO_SB","base.ro","(0269)23.39.85"
"res_bank_5","TRUE","BancaComercialăRomână","RNCBROBU","Bd.ReginaElisabetanr.5,sector3","BUCURESTI","base.RO_B","base.ro","08010801227"
"res_bank_6","TRUE","BancaC.R.Firenze","DAROROBU","Bd.Uniriinr.55,bl.E4a,Tronson1,sector3","BUCURESTI","base.RO_B","base.ro","(021)201.19.30"
"res_bank_7","TRUE","BancadeExport-ImportaRomânieiEximbank","EXIMROBU","Spl.Independenteinr.15,sector5","BUCURESTI","base.RO_B","base.ro","(021)336.61.62"
"res_bank_8","TRUE","BancadiRoma","BROMROBU","IntrareaMurmuruluinr.2-4,sector1","BUCURESTI","base.RO_B","base.ro","(021)232.08.18"
"res_bank_9","TRUE","BancaItaloRomena","BITRROBU","Bd.DimitrieCantemirnr.1,bl.B2,sc.2,partersimezanin,sector4","BUCURESTI","base.RO_B","base.ro","(021)330.78.76"
"res_bank_10","TRUE","BancaRomânească","BRMAROBU","bd.Uniriinr.35,bl.A3,sector3","BUCURESTI","base.RO_B","base.ro","(021)321.16.01"
"res_bank_11","TRUE","BancaTransilvania","BTRLRO22","GeorgeBaritiunr.8","CLUJ-NAPOCA","base.RO_CJ","base.ro","(0264)407150"
"res_bank_12","TRUE","BancPost","BPOSROBU","CaleaVitannr.6,6A,TronsonBsiC,et.3-7,sector3","BUCURESTI","base.RO_B","base.ro","(021)308.09.01"
"res_bank_13","TRUE","BlomBankEgypt","MIRBROBU","Bd.Uniriinr.66bl.K3sector3","BUCURESTI","base.RO_B","base.ro","(021)302.72.00"
"res_bank_14","TRUE","BRD-GroupeSociétéGénérale","BRDEROBU","Bd.IonMihalachenr.1-7,sector1","BUCURESTI","base.RO_B","base.ro","(021)301.61.00"
"res_bank_15","TRUE","C.E.C.","CECEROBU","CaleaVictorieinr.13,sector3","BUCURESTI","base.RO_B","base.ro","(021)311.11.19."
"res_bank_16","TRUE","CitibankRomânia","CITIROBU","bd.IancudeHunedoaranr.8,sector1","BUCURESTI","base.RO_B","base.ro","(021)210.18.50"
"res_bank_17","TRUE","CreditCoopCasaCentrală","CRCOROBU","CaleaPlevneinr.200","BUCURESTI","base.RO_B","base.ro","(021)317.74.05"
"res_bank_18","TRUE","CreditEuropeBank","FNNBROBU","Bd.TimisoaraNr.26Z,Sector6","BUCURESTI","base.RO_B","base.ro","(021)406.40.00"
"res_bank_19","TRUE","EgnatiaBank","EGNAROBX","str.GeneralConstantinBudisteanunr.28C,P+1,sector1","BUCURESTI","base.RO_B","base.ro","(021)303.21.00"
"res_bank_20","TRUE","EmporikiBank-România","BSEAROBU","str.Berzeinr.19,sector1","BUCURESTI","base.RO_B","base.ro","(021)310.39.55"
"res_bank_21","TRUE","GarantiBankInternationalNV","UGBIROBU","str.Parisnr.30,sector1","BUCURESTI","base.RO_B","base.ro","(021)230.84.30"
"res_bank_22","TRUE","HVBBancapentruLocuinţe","HVBLROBU","str.Dr.GrigoreMoranr.37,sector1","BUCURESTI","base.RO_B","base.ro","(021)3001122"
"res_bank_23","TRUE","INGBankN.V.,Amsterdam","INGBROBU","sos.Kiseleffnr.11-13,sector1","BUCURESTI","base.RO_B","base.ro","(021)222.16.00"
"res_bank_24","TRUE","LeumiBankRomânia","DAFBRO22","B-dulAviatorilornr.45,sector1","BUCURESTI","base.RO_B","base.ro","(021)206.70.75"
"res_bank_25","TRUE","LibraBank","BRELROBU","str.dr.GrigoreMoranr.11,sector1","BUCURESTI","base.RO_B","base.ro","(021)20.88.000"
"res_bank_26","TRUE","MilleniumBank","MILBROBU","PiaţaPreseiLiberenr.3-5,ClădireaCityGate,TurnulSudic,partersiet.13-17","BUCURESTI","base.RO_B","base.ro","(021)3081300"
"res_bank_27","TRUE","OTPBankRomâniaS.A.","OTPVROBU","str.Buzestinr.66-68,sector1","BUCURESTI","base.RO_B","base.ro","(021)307.57.00"
"res_bank_28","TRUE","PiraeusBankRomânia","PIRBROBU","bd.CarolInr.34-36,et.VI,sector2","BUCURESTI","base.RO_B","base.ro","(021)250.67.98"
"res_bank_29","TRUE","PorscheBankRomânia","PORLROBU","sos.Pipera-Tunarinr.2,cladireaPORSCHE,parter,etaj1si2","VOLUNTARI","base.RO_B","base.ro","(021)208.26.00"
"res_bank_30","TRUE","ProCreditBank","MIROROBU","str.Buzestinr.62-64,et.1siet.2,sector1","BUCURESTI","base.RO_B","base.ro","(021)201.60.00"
"res_bank_31","TRUE","RaiffeisenBancapentruLocuinţe","RZBLROBU","str.NicolaeCaramfilnr.79,sector1","BUCURESTI","base.RO_B","base.ro","(021)233.30.00"
"res_bank_32","TRUE","RaiffeisenBank","RZBRROBU","PiataCharlesdeGaullenr.15,et.4,5,6,7si8,sector1","BUCURESTI","base.RO_B","base.ro","(021)323.00.31"
"res_bank_33","TRUE","RBSBankRomânia","ABNAROBU","PiataMontrealnr.10,WTCB-Eetajul2,sector1","BUCURESTI","base.RO_B","base.ro","(021)20.20.400"
"res_bank_34","TRUE","RomanianInternationalBank","ROINROBU","bd.Uniriinr.68,bl.K2,sector3","BUCURESTI","base.RO_B","base.ro","(021)323.10.35."
"res_bank_35","TRUE","RomexterraBank","CRDZROBU","Bdul1Decembrie1918nr.93","TARGUMURES","base.RO_MS","base.ro","(0265)16.66.41"
"res_bank_36","TRUE","SanpaoloImiBankRomânia","WBANRO22","str.Revolutieinr.88","ARAD","base.RO_AR","base.ro","(0257)30.82.00"
"res_bank_37","TRUE","TrezoreriaStatului","TREZROBU","SplaiulUnirii6-8","BUCURESTI","base.RO_B","base.ro","(021) 317.27.70"
"res_bank_38","TRUE","UniCreditTiriacBank","BACXROBU","Str.Ghetarilornr.23-25,sector1","BUCURESTI","base.RO_B","base.ro","(021)200.20.20"
"res_bank_39","TRUE","VolksbankRomania","VBBUROBU","sos.MihaiBravunr.171,sector2","BUCURESTI","base.RO_B","base.ro","(021)303.93.00"
"res_bank_40","TRUE","BancaComercialăFeroviară","BFERROBU","StradaPopaTatunr.62A,TronsonA,Sector1,","BUCURESTI","base.RO_B","base.ro","(021)303.40.00"
"res_bank_41","TRUE","BCRBancapentruLocuinţe","BCRLROBU","B-dulLascarCatargiu,nr.47-53,sector1","BUCURESTI","base.RO_B","base.ro","0801080.275"
"res_bank_42","TRUE","BankofCyprusplcNicosia","BCYPROBU","CaleaDorobantinr.187B,sector1","BUCURESTI","base.RO_B","base.ro","08000877.777"
"res_bank_43","TRUE","BNPParibasFortisSA/NV","FTSBROBU","str.BanulAntonachenr.40-44,etaj5,sector1","BUCURESTI","base.RO_B","base.ro","(021)310.09.70"
"res_bank_44","TRUE","TBIBankEADSofia","TBIBROBU","Str.PutulluiZamfir,nr.8-12,etaj4,sector1","BUCURESTI","base.RO_B","base.ro","(021)529.86.00"
